datetime,temperature,humidity,wind,rain
2017-01-01 00:00:00,5.3,86,3,0.0
2017-01-01 03:00:00,4.3,89,2,0.0
2017-01-01 06:00:00,2.6,92,2,0.0
2017-01-01 09:00:00,3.4,95,1,0.0
2017-01-01 12:00:00,10.7,38,2,0.0
2017-01-01 15:00:00,13.1,51,2,0.0
2017-01-01 18:00:00,10.0,63,1,0.0
2017-01-01 21:00:00,4.6,88,2,0.0
2017-01-02 00:00:00,-2.2,36,2,0.0
2017-01-02 03:00:00,1.1,27,7,0.0
2017-01-02 06:00:00,0.8,29,8,0.0
2017-01-02 09:00:00,0.4,29,3,0.0
2017-01-02 12:00:00,5.0,21,3,0.0
2017-01-02 15:00:00,8.6,14,1,0.0
2017-01-02 18:00:00,7.6,17,4,0.0
2017-01-02 21:00:00,0.3,35,3,0.0
2017-01-03 00:00:00,14.8,33,5,0.005
2017-01-03 03:00:00,16.4,41,4,0.01
2017-01-03 06:00:00,16.8,28,6,0.01
2017-01-03 09:00:00,18.9,23,8,0.01
2017-01-03 12:00:00,22.2,24,3,0.005
2017-01-03 15:00:00,20.3,31,5,0.0
2017-01-03 18:00:00,20.2,29,3,0.0
2017-01-03 21:00:00,14.6,45,2,0.0
2017-01-04 00:00:00,12.9,81,4,0.0
2017-01-04 03:00:00,11.3,81,3,0.0
2017-01-04 06:00:00,9.8,93,1,0.0
2017-01-04 09:00:00,16.9,55,5,0.0
2017-01-04 12:00:00,20.5,41,2,1.0
2017-01-04 15:00:00,17.9,59,6,2.0
2017-01-04 18:00:00,17.5,64,5,3.0
2017-01-04 21:00:00,13.9,81,2,4.0
2017-01-05 00:00:00,21.4,40,2,2.0
2017-01-05 03:00:00,21.1,39,3,0.0
2017-01-05 06:00:00,21.1,61,3,0.0
2017-01-05 09:00:00,23.4,49,2,0.0
2017-01-05 12:00:00,22.4,75,1,0.0
2017-01-05 15:00:00,22.7,64,4,0.0
2017-01-05 18:00:00,23.6,48,4,0.0
2017-01-05 21:00:00,20.0,61,1,0.0
2017-01-06 00:00:00,18.2,93,1,0.0
2017-01-06 03:00:00,15.3,96,3,0.0
2017-01-06 06:00:00,15.7,97,2,0.0
2017-01-06 09:00:00,21.3,76,0,0.0
2017-01-06 12:00:00,25.3,54,2,0.0
2017-01-06 15:00:00,28.4,43,4,0.0
2017-01-06 18:00:00,25.0,49,6,0.0
2017-01-06 21:00:00,21.2,71,2,0.0
2017-01-07 00:00:00,25.6,90,2,0.0
